노선번호,인가대수,저상대수,보유율
01,14,14,100.0
100,29,29,100.0
101,32,20,62.5
102,20,20,100.0
105,20,20,100.0
106,19,12,63.2
107,25,10,40.0
109,18,6,33.3
111,13,4,30.8
120,32,20,62.5
121,27,20,74.1
130,42,19,45.2
140,45,24,53.3
141,37,32,86.5
142,38,34,89.5
143,50,21,42.0
144,39,19,48.7
145,37,20,54.1
146,42,42,100.0
147,39,36,92.3
148,35,29,82.9
150,51,39,76.5
151,34,19,55.9
152,51,32,62.7
160,49,39,79.6
162,29,22,75.9
163,43,25,58.1
171,29,17,58.6
173,25,24,96.0
201,19,13,68.4
202,37,36,97.3
240,24,18,75.0
241,29,14,48.3
242,20,15,75.0
260,29,24,82.8
261,35,27,77.1
262,34,22,64.7
270,33,20,60.6
271,45,39,86.7
272,41,28,68.3
273,36,29,80.6
301,44,26,59.1
302,27,23,85.2
303,41,35,85.4
320,24,19,79.2
333,28,25,89.3
340,35,24,68.6
341,22,16,72.7
342,24,16,66.7
343,18,9,50.0
345,25,18,72.0
350,26,26,100.0
360,51,24,47.1
361,27,19,70.4
370,41,31,75.6
400,23,14,60.9
401,26,12,46.2
402,39,26,66.7
405,17,9,52.9
406,15,15,100.0
420,37,37,100.0
421,39,23,59.0
440,28,20,71.4
441,29,23,79.3
452,34,17,50.0
461,39,25,64.1
463,30,22,73.3
470,33,21,63.6
472,34,34,100.0
500,32,17,53.1
501,18,18,100.0
502,24,22,91.7
503,16,12,75.0
504,35,34,97.1
505,29,16,55.2
506,19,19,100.0
507,29,5,17.2
540,29,27,93.1
541,22,19,86.4
542,15,8,53.3
571,28,28,100.0
600,27,10,37.0
601,28,16,57.1
602,26,26,100.0
603,21,13,61.9
604,21,15,71.4
605,27,16,59.3
606,22,22,100.0
640,21,14,66.7
641,35,22,62.9
643,28,25,89.3
650,25,18,72.0
651,25,19,76.0
653,5,3,60.0
653,6,3,50.0
654,22,16,72.7
660,20,5,25.0
661,18,18,100.0
662,17,13,76.5
672,15,15,100.0
673,17,17,100.0
674,12,3,25.0
700,24,24,100.0
701,19,13,68.4
703,14,13,92.9
704,17,8,47.1
705,14,12,85.7
708,16,7,43.8
710,24,13,54.2
720,33,28,84.8
721,37,22,59.5
740,30,23,76.7
741,35,17,48.6
742,32,25,78.1
752,27,27,100.0
753,21,21,100.0
760,22,17,77.3
761,22,15,68.2
771,12,7,58.3
773,17,17,100.0
1020,15,5,33.3
1111,22,20,90.9
1115,6,2,33.3
1120,14,14,100.0
1124,6,1,16.7
1127,9,7,77.8
1128,14,13,92.9
1132,17,14,82.4
1135,10,8,80.0
1138,5,5,100.0
1139,11,11,100.0
1140,5,5,100.0
1144,9,1,11.1
